close,volume,time
306.0,0.01101192,2017-10-07 05:59:00+00:00
295.0,5.05095794,2017-10-05 16:35:00+00:00
295.0,25.18095529,2017-10-05 16:36:00+00:00
295.0,1.99364778,2017-10-05 16:37:00+00:00
294.5,1.0,2017-10-05 16:38:00+00:00
295.0,1.0,2017-10-05 16:39:00+00:00
295.0,0.05647789,2017-10-05 16:40:00+00:00
295.0,15.95114153,2017-10-05 16:41:00+00:00
295.05,6.89806279,2017-10-05 16:42:00+00:00
295.05,1.80100811,2017-10-05 16:44:00+00:00
295.05,3.27016627,2017-10-05 16:45:00+00:00
295.05,3.37085817,2017-10-05 16:47:00+00:00
295.05,0.76643505,2017-10-05 16:49:00+00:00
295.05,4.13575068,2017-10-05 16:50:00+00:00
295.05,0.00947513,2017-10-05 16:52:00+00:00
296.0,48.00091525,2017-10-05 16:53:00+00:00
296.0,4.8105747,2017-10-05 16:54:00+00:00
296.0,0.10938635,2017-10-05 16:55:00+00:00
295.1,0.15581437,2017-10-05 16:56:00+00:00
295.10000001,0.383559,2017-10-05 16:57:00+00:00
296.0,5.25673173,2017-10-05 16:58:00+00:00
296.0,0.02022804,2017-10-05 16:59:00+00:00
296.0,1.28479639,2017-10-05 17:01:00+00:00
295.6,0.00672231,2017-10-05 17:02:00+00:00
295.99999999,0.18534629,2017-10-05 17:03:00+00:00
296.0,0.11252342,2017-10-05 17:06:00+00:00
296.0,14.55497386,2017-10-05 17:07:00+00:00
296.0,10.8473052,2017-10-05 17:08:00+00:00
296.0,8.9961075,2017-10-05 17:09:00+00:00
296.0,9.39121284,2017-10-05 17:10:00+00:00
296.0,2.43282104,2017-10-05 17:11:00+00:00
296.0,34.63590696,2017-10-05 17:13:00+00:00
296.037666,0.3,2017-10-05 17:14:00+00:00
296.07924,4.98030847,2017-10-05 17:15:00+00:00
296.5,4.6151482,2017-10-05 17:18:00+00:00
296.5,2.0,2017-10-05 17:19:00+00:00
296.57232958,0.53873588,2017-10-05 17:20:00+00:00
296.25,0.27662728,2017-10-05 17:21:00+00:00
296.58999949,1.40395515,2017-10-05 17:22:00+00:00
296.0,3.883073,2017-10-05 17:23:00+00:00
296.0,0.00100169,2017-10-05 17:26:00+00:00
296.57232958,20.74614627,2017-10-05 17:27:00+00:00
296.99999999,54.37439742,2017-10-05 17:28:00+00:00
