USDT-BTC,time,USDT-ETH
4178.00000001,2017-10-04 17:05:00+00:00,292.39
4186.97,2017-10-04 17:06:00+00:00,292.39
4186.9699,2017-10-04 17:07:00+00:00,292.39
4184.0,2017-10-04 17:08:00+00:00,292.39
4183.9689,2017-10-04 17:09:00+00:00,292.2
4175.40000003,2017-10-04 17:10:00+00:00,292.2
4183.96889999,2017-10-04 17:12:00+00:00,292.2
4175.40000003,2017-10-04 17:13:00+00:00,292.39
4183.96889999,2017-10-04 17:14:00+00:00,292.2
4195.0,2017-10-04 17:22:00+00:00,290.0
4193.0,2017-10-04 17:25:00+00:00,290.00000104
4194.0,2017-10-04 17:26:00+00:00,292.01
4196.99999999,2017-10-04 17:29:00+00:00,292.0
4199.0,2017-10-04 17:30:00+00:00,292.0
4195.0,2017-10-04 17:31:00+00:00,292.0
4194.0,2017-10-04 17:33:00+00:00,291.5
4193.0,2017-10-04 17:34:00+00:00,291.5
4193.0,2017-10-04 17:35:00+00:00,291.5
4190.01,2017-10-04 17:38:00+00:00,291.5
4188.0,2017-10-04 17:41:00+00:00,291.25
4193.0,2017-10-04 17:42:00+00:00,291.25
4188.0,2017-10-04 17:43:00+00:00,291.25
4194.0,2017-10-04 17:44:00+00:00,291.25
4199.0,2017-10-04 17:45:00+00:00,291.25
4193.0,2017-10-04 17:46:00+00:00,291.25
4194.0,2017-10-04 17:48:00+00:00,291.25
4194.0,2017-10-04 17:49:00+00:00,291.25
4194.0,2017-10-04 17:50:00+00:00,291.0
4186.00000015,2017-10-04 17:51:00+00:00,291.0
4193.491,2017-10-04 17:52:00+00:00,291.0
4199.99990001,2017-10-04 17:53:00+00:00,291.0
4199.9999,2017-10-04 17:54:00+00:00,291.25
4191.0,2017-10-04 17:55:00+00:00,291.47
4196.99000001,2017-10-04 17:59:00+00:00,291.25
4197.00000001,2017-10-04 18:04:00+00:00,291.468
4200.0,2017-10-04 18:05:00+00:00,291.25
4183.969,2017-10-04 18:12:00+00:00,291.25
4183.969,2017-10-04 18:13:00+00:00,291.25
4199.1,2017-10-04 18:15:00+00:00,291.47
4183.569,2017-10-04 18:17:00+00:00,290.2
4199.0,2017-10-04 18:19:00+00:00,290.0
4195.09,2017-10-04 18:23:00+00:00,291.2
4195.0,2017-10-04 18:26:00+00:00,291.2
4195.0,2017-10-04 18:27:00+00:00,291.47
4199.088,2017-10-04 18:30:00+00:00,291.47
4199.089,2017-10-04 18:32:00+00:00,291.0
4195.00000001,2017-10-04 18:34:00+00:00,290.0
4199.088,2017-10-04 18:35:00+00:00,290.0
4199.088,2017-10-04 18:36:00+00:00,290.0
4199.088,2017-10-04 18:37:00+00:00,291.44
4200.0,2017-10-04 18:38:00+00:00,291.44
4201.0,2017-10-04 18:39:00+00:00,291.47
4201.0,2017-10-04 18:41:00+00:00,291.47
4204.99,2017-10-04 18:43:00+00:00,291.47
4204.9,2017-10-04 18:44:00+00:00,291.47
4200.0,2017-10-04 18:45:00+00:00,291.47
4204.0,2017-10-04 18:47:00+00:00,291.47
4200.08800001,2017-10-04 18:48:00+00:00,291.46999977
4199.0,2017-10-04 18:50:00+00:00,290.00000001
4198.99,2017-10-04 18:53:00+00:00,290.0
4198.0,2017-10-04 18:54:00+00:00,290.0
4186.0,2017-10-04 18:58:00+00:00,289.9
4186.00000001,2017-10-04 18:59:00+00:00,289.9
4184.0,2017-10-04 19:00:00+00:00,289.9
4184.0,2017-10-04 19:03:00+00:00,289.9
4183.469,2017-10-04 19:04:00+00:00,291.4
4187.0,2017-10-04 19:05:00+00:00,291.47
4181.73448318,2017-10-04 19:06:00+00:00,291.47
4197.99,2017-10-04 19:07:00+00:00,291.47
4198.83448346,2017-10-04 19:08:00+00:00,291.47
4200.08800001,2017-10-04 19:10:00+00:00,291.47
4210.0,2017-10-04 19:11:00+00:00,291.47
4219.99999,2017-10-04 19:14:00+00:00,292.42
4200.0,2017-10-04 19:15:00+00:00,292.4321
4219.99999,2017-10-04 19:16:00+00:00,292.88
4210.0,2017-10-04 19:17:00+00:00,292.41
4225.10000001,2017-10-04 19:18:00+00:00,292.0
4236.99000001,2017-10-04 19:19:00+00:00,292.5
4238.99999981,2017-10-04 19:20:00+00:00,292.5
4210.5,2017-10-04 19:21:00+00:00,292.88
4232.0,2017-10-04 19:22:00+00:00,292.88
4210.6,2017-10-04 19:23:00+00:00,292.89
4210.6,2017-10-04 19:26:00+00:00,292.89
4229.0,2017-10-04 19:27:00+00:00,293.49999989
4225.0,2017-10-04 19:28:00+00:00,293.49799957
4219.0,2017-10-04 19:29:00+00:00,293.3999997
4210.39,2017-10-04 19:32:00+00:00,292.50000002
4220.0,2017-10-04 19:33:00+00:00,292.5
4210.0,2017-10-04 19:34:00+00:00,292.5
4215.0,2017-10-04 19:35:00+00:00,292.0
4230.0,2017-10-04 19:39:00+00:00,292.0
4207.0,2017-10-04 19:40:00+00:00,290.5
4207.0,2017-10-04 19:41:00+00:00,292.788
4208.00800008,2017-10-04 19:46:00+00:00,290.3280569
4220.0,2017-10-04 19:50:00+00:00,289.97100239
4225.0,2017-10-04 19:51:00+00:00,291.5
4220.00000001,2017-10-04 19:52:00+00:00,291.3
4220.0,2017-10-04 19:53:00+00:00,291.3
4210.0,2017-10-04 19:55:00+00:00,290.42
4210.0,2017-10-04 19:56:00+00:00,291.3
4203.39,2017-10-04 19:57:00+00:00,292.79899983
4208.0,2017-10-04 19:59:00+00:00,290.532814
4208.0,2017-10-04 20:00:00+00:00,290.67808042
4208.0,2017-10-04 20:01:00+00:00,290.67808042
4217.0,2017-10-04 20:03:00+00:00,290.40513001
4208.0,2017-10-04 20:04:00+00:00,290.04099322
4208.0,2017-10-04 20:06:00+00:00,290.40000001
4208.9999,2017-10-04 20:18:00+00:00,292.66999978
4200.0,2017-10-04 20:23:00+00:00,291.0
4210.0,2017-10-04 20:26:00+00:00,291.0
4210.0,2017-10-04 20:27:00+00:00,291.0
4210.0,2017-10-04 20:29:00+00:00,291.0
4209.0,2017-10-04 20:32:00+00:00,292.0
4210.0,2017-10-04 20:39:00+00:00,291.0
4210.0,2017-10-04 20:40:00+00:00,291.5
4210.0,2017-10-04 20:42:00+00:00,291.5
4221.0,2017-10-04 20:44:00+00:00,292.66999977
4213.00000002,2017-10-04 20:45:00+00:00,292.66999978
4221.0,2017-10-04 20:46:00+00:00,292.66
4215.1,2017-10-04 20:47:00+00:00,292.66
4227.9,2017-10-04 20:49:00+00:00,292.66
4230.0,2017-10-04 20:52:00+00:00,292.66
4230.0,2017-10-04 20:54:00+00:00,292.65999984
